№,県番号,地域分類,性別,年齢,年齢階層,性年代,結婚有無,職業分類,bq1,sq1,sq2_1t,sq2_2t,sq3_1,sq3_2t,sq4,q0,q1,q2,q3_1,q3_2,q4_1,q4_2,q5,q6,q6_3t,q7f1,q7f2,q8f1,q8f2,q9_1,q9_2,q9_3,q9_4,q10,q11,q12t,q13_1,q13_2,q13_3,q13_4,q13_5,q14,q14_14t,q15,Q1-Q4表示順,Q7Q8所要時間,回答開始日時,回答日時
78,22,5,1,54,5,5,1,1,2,1,42,6,22,浜松市,2,3,1,3,1,1,1,3,2,1,,2,2,,,5,2,2,3,2,4,0,2,2,2,2,2,6,,4,q3|q4|q1|q2,18,2022/3/25 16:43,2022/3/25 16:46
79,23,5,1,56,5,5,2,1,1,1,41,1,23,名古屋市中区,2,3,1,2,3,3,2,2,2,4,,3,3,,,2,2,2,2,6,1,4,2,1,2,2,2,2,,7,q1|q2|q3|q4,21,2022/3/25 16:43,2022/3/25 16:47
80,13,3,1,48,4,4,1,2,2,1,48,10,13,中野区,2,3,3,3,3,3,3,3,2,1,,3,3,,,3,2,3,4,7,4,1,2,2,2,2,2,2,,2,q3|q4|q1|q2,10,2022/3/25 16:44,2022/3/25 16:47
81,14,3,1,58,5,5,1,1,3,1,39,3,14,藤沢市,2,2,3,2,3,3,3,3,1,4,,,,2,2,3,3,3,3,7,4,2,1,2,2,2,2,6,,13,q1|q2|q3|q4,16,2022/3/25 16:45,2022/3/25 16:47
82,4,2,1,57,5,5,2,2,1,1,39,11,4,仙台市太白区,2,2,3,2,3,3,2,2,2,1,,2,2,,,4,3,3,3,7,1,1,2,2,2,2,2,1,,4,q1|q2|q3|q4,31,2022/3/25 16:42,2022/3/25 16:47
83,20,5,1,50,5,5,2,1,3,1,46,12,20,松本市,2,3,2,2,3,3,1,3,2,4,,,,3,3,3,3,3,3,2,1,1,2,2,2,2,2,14,調理師,6,q1|q2|q3|q4,8,2022/3/25 16:45,2022/3/25 16:47
84,17,4,1,59,5,5,2,1,2,1,38,1,17,内灘町,2,4,4,3,1,1,2,2,1,4,,3,3,,,3,3,2,3,7,1,3,2,2,1,1,2,1,,5,q3|q4|q1|q2,6,2022/3/25 16:44,2022/3/25 16:47
85,13,3,1,48,4,4,1,1,2,1,48,5,13,武蔵野市,2,4,2,2,3,3,3,3,2,4,,4,4,,,3,2,1,1,7,2,0,2,2,2,2,2,3,,5,q3|q4|q1|q2,7,2022/3/25 16:44,2022/3/25 16:47
86,13,3,1,58,5,5,2,2,4,1,38,12,13,杉並く,2,2,1,2,1,1,2,2,2,1,,,,2,2,4,4,4,4,3,1,3,1,2,2,2,2,6,,3,q3|q4|q1|q2,18,2022/3/25 16:44,2022/3/25 16:47
87,28,6,1,44,4,4,1,1,2,1,52,8,28,姫路,3,3,3,2,3,1,2,2,2,4,,3,3,,,2,3,2,3,7,4,0,2,2,2,2,2,6,,4,q3|q4|q1|q2,22,2022/3/25 16:44,2022/3/25 16:47
88,14,3,1,53,5,5,1,9,4,1,43,12,14,横浜市,2,3,3,1,3,3,1,3,1,4,,,,3,2,3,3,3,2,3,4,3,1,2,2,2,2,12,,4,q3|q4|q1|q2,61,2022/3/25 16:41,2022/3/25 16:47
89,7,2,1,56,5,5,2,3,2,1,40,5,7,いわき市,2,4,1,2,2,1,1,2,1,2,,2,2,,,4,2,1,2,7,1,4,2,1,1,1,2,5,,5,q3|q4|q1|q2,18,2022/3/25 16:45,2022/3/25 16:48
91,27,6,1,56,5,5,1,2,4,1,40,8,27,堺市北区,2,5,2,3,2,2,3,3,2,4,,,,5,5,1,1,1,1,7,2,0,2,2,2,2,2,6,,3,q3|q4|q1|q2,14,2022/3/25 16:44,2022/3/25 16:48
92,13,3,1,59,5,5,1,1,3,1,37,9,13,江東区,2,3,2,2,2,2,2,2,2,1,,,,3,3,2,2,2,3,7,4,0,2,2,2,2,2,4,,4,q1|q2|q3|q4,18,2022/3/25 16:44,2022/3/25 16:48
93,26,6,1,52,5,5,2,1,4,1,45,1,26,京都市西京区,2,4,2,2,3,3,3,1,2,4,,,,4,4,2,5,3,3,7,1,6,1,1,2,2,2,3,,11,q3|q4|q1|q2,25,2022/3/25 16:44,2022/3/25 16:48
94,40,9,1,54,5,5,2,1,2,1,43,2,40,行橋市,2,4,1,2,1,1,1,1,2,4,,3,2,,,3,2,2,2,3,1,1,2,2,2,2,2,4,,4,q3|q4|q1|q2,15,2022/3/25 16:45,2022/3/25 16:48
95,4,2,1,47,4,4,2,1,2,1,49,7,4,富谷市,3,3,2,2,1,1,2,2,2,4,,3,3,,,3,3,3,3,3,1,3,2,2,2,1,2,5,,4,q3|q4|q1|q2,10,2022/3/25 16:45,2022/3/25 16:48
96,14,3,1,59,5,5,1,1,2,1,38,3,14,海老名市,2,4,2,1,1,1,1,1,2,2,,4,4,,,2,3,3,3,7,4,1,2,2,2,2,2,3,,6,q3|q4|q1|q2,21,2022/3/25 16:41,2022/3/25 16:48
97,14,3,1,58,5,5,1,1,3,1,38,4,14,川崎市川崎市,2,4,1,3,1,1,1,1,2,4,,,,3,4,3,3,3,3,7,2,1,2,2,2,2,2,3,,7,q1|q2|q3|q4,53,2022/3/25 16:42,2022/3/25 16:48
98,13,3,1,44,4,4,1,1,1,1,53,1,13,杉並区,2,3,4,3,4,4,3,3,1,3,面倒だから,3,2,,,3,3,1,1,6,4,0,2,2,2,2,2,7,,3,q1|q2|q3|q4,20,2022/3/25 16:45,2022/3/25 16:48
99,10,3,1,57,5,5,2,1,4,1,39,12,10,邑楽町,3,3,3,3,1,1,3,3,2,4,,,,3,3,3,4,2,3,7,1,3,1,2,2,2,2,1,,4,q3|q4|q1|q2,16,2022/3/25 16:46,2022/3/25 16:49
100,12,3,1,43,4,4,2,1,2,1,53,8,12,八千代市,2,4,1,1,1,1,1,1,1,4,,3,3,,,3,3,3,3,7,1,4,2,1,2,1,2,2,,4,q3|q4|q1|q2,78,2022/3/25 16:45,2022/3/25 16:49
101,21,5,1,47,4,4,2,2,4,1,49,9,21,美濃市,2,3,3,3,3,3,3,3,2,4,,,,3,3,3,3,3,3,7,1,6,1,1,1,1,2,2,,14,q3|q4|q1|q2,15,2022/3/25 16:46,2022/3/25 16:49
