割付,№,県番号,地域分類,性別,年齢,年齢階層,性年代,q1,q2t,q3_1t,q3_2t,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15a,q15b_1,q15b_2,q15b_3,q15b_4,q15b_5,q15b_6,q15b_7,q15b_8,q15b_9,q15b_10,q15b_11,q16.1,q16.2,q16.3,q16.4,q16.5,q16.6,q16.7,q16.0,q16_6t,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q18_6,q18_7,q18_8,q19,q20,q21,q22,q23t,q24t,q25,q25_10t,q26,q26_8t,q27,q27_10t,q28,q29,q30,q31.1,q31.2,q31.3,q31.4,q31.5,q31.6,q31.7,q31.8,q31.0,q31_7t,q32,q33,q33_7t,回答開始日時,回答日時
Facebook利用者,51,13,3,1,42,4,4,1,42,52,5,1,3,2,3,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,1,2,3,3,2,5,4,13,1,7,3,0,,10,恋人,2,,4,,1,1,2,1,0,0,0,1,0,0,0,0,,7,5,,2020/3/17 18:17,2020/3/17 18:20
Facebook非利用者,52,11,3,1,47,4,4,1,47,47,5,2,,1,2,,3,,4,,2,3,1,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,4,3,4,2,2,4,2,4,11,2,7,1,0,,3,,3,,6,,2,1,6,0,1,0,0,1,0,0,0,0,,4,3,,2020/3/17 18:17,2020/3/17 18:26
Facebook非利用者,55,40,9,1,42,4,4,1,42,52,9,2,,2,2,,4,,4,,4,,1,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,1,0,,3,3,2,5,1,4,3,4,3,40,1,5,3,0,,1,,5,,5,,1,1,7,1,0,0,1,1,0,0,0,0,,3,2,,2020/3/17 18:17,2020/3/17 18:21
Facebook利用者,58,27,6,1,44,4,4,1,44,51,2,1,6,3,3,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,4,3,3,3,3,5,4,3,27,2,3,3,0,,2,,1,,1,,1,1,7,1,0,0,1,1,0,0,0,0,,13,6,,2020/3/17 18:17,2020/3/17 18:20
Facebook利用者,60,26,6,1,56,5,5,1,56,38,4,1,2,2,2,,3,,4,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,5,1,2,1,4,4,2,5,26,1,7,1,2,29,3,,1,,3,,4,6,1,0,1,0,0,0,0,0,0,0,,6,6,,2020/3/17 18:17,2020/3/17 18:24
Facebook非利用者,61,32,7,1,51,5,5,1,51,43,12,2,,2,2,,4,,5,,4,,3,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,3,3,3,3,3,3,3,3,3,32,3,3,1,1,11,7,,1,,6,,1,2,2,0,0,0,0,0,1,0,0,0,,2,8,,2020/3/17 18:17,2020/3/17 18:21
Facebook利用者,62,46,9,1,54,5,5,1,54,40,11,1,5,1,3,,3,,1,3,,,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,4,2,5,3,4,5,3,1,46,2,7,1,2,15,4,,1,,4,,2,1,2,0,0,0,0,0,1,0,0,0,,7,3,,2020/3/17 18:18,2020/3/17 18:24
Facebook非利用者,63,1,1,1,41,4,4,1,41,53,7,2,,2,3,,3,,5,,3,,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,2,5,2,4,2,2,1,5,3,1,1,5,1,4,0,4,,1,,5,,4,6,2,0,0,0,0,0,1,0,0,0,,7,3,,2020/3/17 18:18,2020/3/17 18:23
Facebook非利用者,64,1,1,1,56,5,5,1,56,39,1,2,,2,2,,4,,4,,3,,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,2,5,5,5,5,5,5,3,1,1,1,7,3,0,,1,,2,,3,,3,1,1,1,0,0,0,0,0,0,0,0,,6,2,,2020/3/17 18:18,2020/3/17 18:21
Facebook利用者,65,5,2,1,43,4,4,1,43,51,5,1,4,3,1,2,,,2,,,,1,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,1,0,,4,4,2,1,3,4,1,4,4,5,2,3,3,0,,1,,3,,9,,,,,,,,,,,,,0,,1,8,,2020/3/17 18:18,2020/3/17 18:20
