id,exp,antibody,vaccine,coupon,severity,handicap,exp_again,why_norisk,sdist_1,sdist_2,sdist_3,sdist_4,sdist_5,sdist_6,sdist_7,out_antibody,out_vaccine,out_exp,out_coupon,pref,marry,child,working,income,start_time,start_date,nudge,female,age,fb,fb_active,get_coupon,importance,confident,flu_prob,rub_prob,rub_prob_me,wtp_flu,wtp_rub,sdf_f,sdf_u,df_p,df_f,pb,wtp_gain,wtp_loss,int_antibody,sint_antibody,done_antibody,int_vaccine,sint_vaccine,done_vaccine,int_exp,sint_exp,done_exp,int_coupon,sint_coupon,done_coupon
48,3,3,3,3,0,1,0,,20,15,10,17,16,10,2,2,1,2,2,23,1,3,4,4,"2020/2/7 21:18","2020/2/7 21:37","G",0,55,0,0,0,5,0,20,10,10,2500,3500,.7,0,.9542896,.9542896,0,-20000,25000,1,0,0,1,1,0,1,0,0,1,0,0
49,1,2,1,3,1,1,0,,20,10,5,15,10,5,2,2,2,6,2,10,1,3,2,6,"2020/2/7 21:21","2020/2/7 21:37","G",0,59,0,0,0,5,0,50,80,50,1500,1500,1.333333,0,.889205,.889205,0,-3000,7500,1,0,0,1,0,0,0,0,1,1,0,0
50,1,3,1,3,0,0,0,,20,18,15,17,15,10,10,3,2,3,3,34,1,2,3,6,"2020/2/7 21:21","2020/2/7 21:37","G",0,56,0,0,0,4,0,0,30,30,500,2500,.7,0,.9542896,.9542896,0,-20000,17500,0,0,0,1,0,0,0,0,0,0,0,0
51,1,3,2,3,0,1,0,,20,20,10,18,15,9,9,1,2,3,2,13,1,0,6,5,"2020/2/7 21:30","2020/2/7 21:37","G",0,58,0,0,0,5,0,20,10,10,1500,1500,1.333333,1.333333,.9952725,.9721007,0,-1005,25000,1,1,0,1,0,0,0,0,0,1,0,0
52,3,2,3,3,0,1,0,4,15,8,5,12,10,3,3,3,2,2,2,14,1,1,4,5,"2020/2/7 21:28","2020/2/7 21:41","G",0,56,1,0,0,4,1,20,10,0,3500,2500,.7,.1,1.001001,1.001001,0,-11500,12500,0,0,0,1,0,0,1,0,0,1,0,0
53,3,3,3,3,0,0,0,5,19,10,0,17,15,0,0,4,3,5,4,19,1,0,8,13,"2020/2/7 21:25","2020/2/7 21:42","G",0,55,0,0,0,3,1,0,20,0,2500,1500,.7,.1,.9542896,.9542896,0,-6000,7500,0,0,0,0,0,0,0,0,0,0,0,0
54,2,2,1,3,0,0,1,,20,8,4,19,12,8,3,5,2,4,5,11,2,1,1,4,"2020/2/7 21:30","2020/2/7 21:44","G",0,58,1,0,0,4,0,10,10,10,2500,3500,.7,0,.9990509,.9990509,0,-40000,47500,0,0,0,1,0,0,0,0,0,0,0,0
55,2,2,2,3,0,1,0,5,20,10,7,20,16,10,8,3,3,3,3,13,1,3,3,5,"2020/2/7 21:32","2020/2/7 21:49","G",0,58,1,1,0,4,1,0,30,0,2500,-500,.2666667,0,1.010101,.9868259,0,-20000,35000,0,0,0,0,0,0,0,0,0,0,0,0
56,3,3,3,3,0,1,1,,20,19,18,20,20,18,18,3,3,3,3,40,1,1,5,13,"2020/2/7 21:45","2020/2/7 21:53","G",0,57,1,1,0,3,0,0,30,30,-5000,-5000,.0007333,0,.5,.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,2,2,3,1,1,1,1,16,6,3,11,11,7,3,3,3,3,3,13,1,0,3,9,"2020/2/7 21:48","2020/2/7 21:54","G",0,59,0,0,0,2,1,20,20,0,500,500,1.333333,0,.9721007,.9952725,1,-52500,52500,0,0,0,0,0,0,0,0,0,0,0,0
